Region Name,Province Name,BHS,RHU,HOSPITAL,CHO,INFIRMARY,BIRTHINGHOMES,No License,License,Government,Private,TOTAL
NATIONAL CAPITAL REGION (NCR),CITY OF MANILA (HUC),0,46,26,0,1,12,1,78,11,15,85
NATIONAL CAPITAL REGION (NCR),CITY OF CALOOCAN (HUC),16,44,10,1,4,73,0,88,2,8,148
NATIONAL CAPITAL REGION (NCR),CITY OF LAS PIÑAS (HUC),0,31,10,1,1,13,1,28,1,9,56
NATIONAL CAPITAL REGION (NCR),CITY OF MAKATI (HUC),0,18,2,1,0,5,1,9,0,2,26
NATIONAL CAPITAL REGION (NCR),CITY OF MALABON (HUC),0,21,3,1,0,10,1,13,2,1,35
NATIONAL CAPITAL REGION (NCR),CITY OF MANDALUYONG (HUC),0,28,4,1,0,2,2,7,2,2,35
NATIONAL CAPITAL REGION (NCR),CITY OF MARIKINA (HUC),0,19,8,1,1,16,0,45,1,7,45
NATIONAL CAPITAL REGION (NCR),CITY OF MUNTINLUPA (HUC),1,16,7,1,0,14,3,22,2,5,39
NATIONAL CAPITAL REGION (NCR),CITY OF NAVOTAS (HUC),13,11,1,1,0,8,1,9,1,0,34
NATIONAL CAPITAL REGION (NCR),CITY OF PARAÑAQUE (HUC),5,16,9,1,0,17,0,30,2,7,48
NATIONAL CAPITAL REGION (NCR),PASAY CITY (HUC),0,13,4,1,0,11,1,28,2,2,29
NATIONAL CAPITAL REGION (NCR),CITY OF PASIG (HUC),1,44,13,1,0,30,1,77,3,10,89
NATIONAL CAPITAL REGION (NCR),QUEZON CITY (HUC),1,67,41,1,9,81,1,143,14,27,200
NATIONAL CAPITAL REGION (NCR),CITY OF SAN JUAN (HUC),5,11,3,1,0,1,0,5,1,2,21
NATIONAL CAPITAL REGION (NCR),CITY OF TAGUIG (HUC),0,42,11,1,1,46,1,70,4,7,101
NATIONAL CAPITAL REGION (NCR),CITY OF VALENZUELA (HUC),10,47,5,1,2,19,1,33,1,4,84
NATIONAL CAPITAL REGION (NCR),PATEROS,0,5,1,0,0,4,0,5,0,1,10
CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,170,27,4,0,5,5,1,38,1,3,211
CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,168,13,5,0,7,26,0,51,3,2,219
CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,189,8,3,0,6,24,0,41,3,0,230
CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,132,13,5,0,5,14,0,37,1,4,169
CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,140,11,5,0,2,5,15,17,4,1,163
CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,134,7,2,0,5,6,0,20,2,0,154
CORDILLERA ADMINISTRATIVE REGION (CAR),CITY OF BAGUIO (HUC),0,16,5,0,1,3,0,22,1,4,25
REGION I (ILOCOS REGION),ILOCOS NORTE,112,26,8,0,10,18,1,38,4,4,174
REGION I (ILOCOS REGION),ILOCOS SUR,526,35,21,0,8,32,9,73,9,12,622
REGION I (ILOCOS REGION),LA UNION,325,22,11,0,1,18,0,45,7,4,377
REGION I (ILOCOS REGION),PANGASINAN,1201,74,44,8,15,83,63,149,16,28,1425
REGION II (CAGAYAN VALLEY),BATANES,6,6,1,0,1,2,0,9,1,0,16
REGION II (CAGAYAN VALLEY),CAGAYAN,556,32,22,0,8,32,57,93,9,13,650
REGION II (CAGAYAN VALLEY),ISABELA,925,40,35,0,18,59,16,150,8,27,1077
REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,256,15,8,0,3,21,0,43,4,4,303
