Region Name,Province Name,Population,MDs,Dentists
NCR,City of Malabon,"389,819",58,16
NCR,City of Navotas,"254,778",14,10
NCR,City of Valenzuela,"732,364",94,27
NCR,City of Caloocan,"1,708,376",71,41
NCR,City of Marrirkina,"464,962",22,12
NCR,City of Pasig,"825,380",84,35
NCR,pateros,"66,279",5,4
NCR,City of Taguig,"917,267",82,62
NCR,City of Quezon,"3,027,195",115,59
NCR,City of makati,"637,870",92,52
NCR,City of mandaluyong,"434,978",56,26
NCR,City of San Juan,"127,452",9,10
NCR,City of Manila,"1,889,338",141,126
NCR,City of las Pinas,"618,866",38,25
NCR,City of Muntinlupa,"553,660",36,24
NCR,City of Paranaque,"704,904",23,21
NCR,City of Pasay,"448,847",31,15
CAR,Abra,"253,559",23,0
CAR,Apayao,"128,167",13,3
CAR,Benguet,"473,982",21,22
CAR,Ifugao,"216,448",13,7
CAR,Kalinga,"238,965",15,12
CAR,Mt. Province,"162,971",14,6
CAR,City of Baguio,"377,580",16,5
REGION I,Ilocos Norte,"616,826",34,2
REGION I,Ilocos Sur,"713,424",55,24
REGION I,La Union,"835,494",31,16
REGION I,Pangasinan,"3,045,822",97,47
REGION II,Batanes,"19,107",7,2
REGION II,Cagayan,"1,289,735",79,15
REGION II,Isabela,"1,580,009",55,28
REGION II,Nueva Vizcaya,"514,210",27,9
REGION II,Quirino,"211,146",11,4
REGION III,Aurora,"243,172",10,4
REGION III,Bataan,"876,011",53,14
REGION III,Bulacan,"3,788,883",106,55
REGION III,Nueva Ecija,"2,353,166",87,40
REGION III,Pampanga,"2,508,544",54,28
REGION III,Tarlac,"1,532,063",44,28
REGION III,Zambales,"664,850",22,16
REGION III,City of Angeles,"474,775",7,3
REGION III,City of Olongapo,"264,262",17,6
REGION IV-A,Batangas,"2,969,087",78,58
REGION IV-A,Cavite,"4,451,043",93,34
REGION IV-A,Laguna,"3,458,788",113,48
REGION IV-A,Quezon,"1,996,004",64,32
REGION IV-A,Rizal,"3,418,289",97,32
REGION IV-A,City of Lucena,"286,007",3,2
MIMAROPA,Mmarinduque,"242,451",12,4
MIMAROPA,Mindoro Occidental,"539,533",21,10
MIMAROPA,Mindoro Oriental,"926,654",72,21
MIMAROPA,Palawan,"965,716",37,11
MIMAROPA,Romblon,"314,575",19,12
MIMAROPA,City of Puerto Princesa,"314,862",15,3
REGION V,Albay,"1,415,746",29,13
REGION V,Camarines Norte,"653,656",18,11
REGION V,Camarines Sur,"1,916,128",57,20
REGION V,Catanduanes,"279,648",15,6
REGION V,Masbate,"932,221",32,11
REGION V,Sorsogon,"852,791",36,14
REGION VI,Aklan,"626,648",25,6
REGION VI,Antique,"617,880",39,5
REGION VI,Capiz,"817,827",30,22
REGION VI,Guimaras,"191,419",11,4
REGION VI,Iloilo,"2,081,051",77,34
REGION VI,Negros Occidental,"2,652,749",138,34
REGION VI,City of Bacolod,"598,468",22,6
REGION VI,City of Iloilo,"461,791",49,18
REGION VII,Bohol,"1,421,485",72,21
REGION VII,Cebu,"3,420,109",114,48
REGION VII,Negros Oriental,"1,471,146",56,9
REGION VII,Siquijor,"104,070",6,2
REGION VII,City of Cebu,"993,006",35,18
REGION VII,City of Lapu-Lapu,"517,787",6,2
REGION VII,City of Mandaue,"377,443",23,4
REGION VIII,Biliran,"183,761",10,2
REGION VIII,Eastern Samar,"488,406",39,11
REGION VIII,Northern Leyte,"1,582,542",51,14
REGION VIII,Northern Samar,"652,283",28,12
REGION VIII,Southern Leyte,"433,569",26,4
REGION VIII,Western Samar,"813,690",30,5
REGION VIII,City of Tacloban,"259,015",11,1
REGION IX,Zamboanga del Norte,"1,073,915",34,12
REGION IX,Zamboanga del Sur,"1,080,246",39,17
REGION IX,Zamboanga Sibugay,"686,576",22,9
REGION IX,City of Isabela,"131,842",5,1
REGION IX,City of Zamboanga,"1,001,912",0,0
REGION X,Bukidnon,"1,606,133",18,4
REGION X,Camiguin,"94,450",6,1
REGION X,Lanao del Norte,"743,529",25,8
REGION X,Misamis Occcidental,"632,855",23,12
REGION X,Misamis Oriental,"987,437",47,12
REGION X,City of Cagayan de Oro,"755,908",21,8
REGION X,City of Iligan,"371,966",28,2
REGION XI,Davao de Oro,"792,250",22,12
REGION XI,Davao del Norte,"1,155,884",27,17
REGION XI,Davao Oriental,"591,494",42,20
REGION XI,Davao del Sur,"697,574",12,9
REGION XI,Davao Occidental,"318,776",9,3
REGION XI,City of Davao,"1,824,751",22,15
REGION XII,North Cotabato,"1,317,572",39,11
REGION XII,Sarangani,"579,863",16,4
REGION XII,South Cotabato,"1,006,003",26,12
REGION XII,Sultan Kudarat,"881,039",90,12
REGION XII,City of General Santos,"723,145",13,6
BARMM,Basilan,"431,169",13,3
BARMM,Lanao del Sur,"1,210,346",42,19
BARMM,Maguindanao,"1,391,043",13,5
BARMM,Sulu,"1,006,150",16,2
BARMM,Tawi-Tawi,"442,766",8,4
BARMM,SGA,"223,577",6,0
BARMM,City of Cotabato,"334,811",4,2
REGION XIII,Agusan del Norte,"396,078",12,9
REGION XIII,Agusan del Sur,"759,431",29,8
REGION XIII,Surigao del Norte,"545,689",27,8
REGION XIII,Surigao del Sur,"661,201",32,20
REGION XIII,Province of Dinagat,"129,127",8,2
REGION XIII,City of Butuan,"381,425",5,2
